FEE	Channel	   Offset	Peaks	       INL	Comment
8	29	  -151.933	5	0.000526662	
8	30	   50.8431	5	0.000161396	
8	31	  -305.469	5	0.000510388	
8	32	  -103.464	5	0.000154956	
8	33	   369.145	5	0.000458039	
8	34	   123.347	5	0.000374457	
8	35	   114.269	5	0.000324643	
8	36	   209.708	5	0.00108835	
8	37	  -23.0365	5	0.00200233	
8	38	  -102.995	5	0.000671404	
8	39	   164.757	5	0.000878102	
8	40	   76.9557	5	0.000590914	
8	41	   41.9173	5	0.000645273	
8	42	   17.1229	5	0.000889827	
8	43	  -26.9177	5	0.000537477	
8	44	   24.2461	5	0.000758857	
8	45	      86.5	5	0.000706413	
8	46	   19.5936	5	0.000702037	
8	47	  -70.7074	5	0.00162944	
8	48	   302.934	5	0.00087452	
8	49	  -3.82199	5	0.000848857	
8	50	   33.4576	5	0.00043914	
8	51	   127.952	5	0.000581698	
8	52	  -87.0384	5	 0.0028632	
8	53	   505.591	4	0.000188581	Few peaks 
8	54	  -24.9018	5	0.000981807	
8	55	  -40.3416	5	0.00505578	
8	56	   0	4	 0.0934787	High INL Few peaks 
8	57	   261.388	5	0.000979574	
8	58	   108.939	5	0.00101421	
8	59	   347.067	5	0.000996982	
8	60	    60.648	5	0.000911018	
8	61	   30.1423	5	0.00100778	
8	62	   129.832	5	0.000715267	
8	63	  -206.007	5	0.000456963	
8	64	   483.531	5	0.000425869	
